subset,train_engines,test_engines,mae,rmse,nasa_score,critical_engines,risk_decision_accuracy,actual_critical_engines,critical_true_positives,critical_recall,critical_false_negatives,high_priority_recall,high_priority_false_negatives,average_predicted_rul,uses_cycle_feature,model_trees,validation_mae,validation_score
FD001,100,100,9.891742706298828,12.935687689149384,220.15743655776262,21,0.79,25,21,0.84,4,0.8717948717948718,5,74.60350799560547,True,900,8.948286122896455,9.295508345118677
FD002,260,259,19.338882446289062,27.61750353425964,10343.408776667135,62,0.7876447876447876,61,59,0.9672131147540983,2,0.9019607843137255,10,72.94869232177734,True,900,14.876821714116815,17.0393885590366
FD003,100,100,10.175686836242676,13.794082721937274,335.5107420704981,18,0.81,20,18,0.9,2,0.8292682926829268,7,76.2842025756836,True,700,10.428992492773316,11.422208232257713
FD004,249,248,20.952838897705078,28.620941007593657,6197.740980480929,48,0.7298387096774194,53,44,0.8301886792452831,9,0.8681318681318682,12,78.90105438232422,True,700,19.654277302785353,22.415072757330808
